,State,Year,Deaths,Pop,Percent
584,Arkansas,2011,294,2938538,0.00010005
585,Arkansas,2012,291,2949499,9.86608E-05
586,Arkansas,2013,246,2957957,8.31655E-05
587,Arkansas,2014,291,2966835,9.80843E-05
588,Arkansas,2015,303,2978204,0.000101739
589,Louisiana,1999,146,4460811,3.27295E-05
590,Louisiana,2000,187,4468976,4.1844E-05
591,Louisiana,2001,217,4477875,4.84605E-05
592,Louisiana,2002,289,4497267,6.42613E-05
593,Louisiana,2003,414,4521042,9.15718E-05
594,Louisiana,2004,426,4552238,9.35803E-05
595,Louisiana,2005,556,4576628,0.000121487
596,Louisiana,2006,601,4302665,0.000139681
597,Louisiana,2007,672,4375581,0.00015358
598,Louisiana,2008,578,4435586,0.00013031
599,Louisiana,2009,504,4491648,0.000112208
600,Louisiana,2010,519,4533372,0.000114484
601,Louisiana,2011,525,4575381,0.000114745
602,Louisiana,2012,488,4603676,0.000106002
603,Louisiana,2013,733,4627491,0.000158401
604,Louisiana,2014,699,4648990,0.000150355
605,Louisiana,2015,804,4670724,0.000172136
606,Oklahoma,1999,127,3437147,3.69492E-05
607,Oklahoma,2000,196,3450654,5.68008E-05
608,Oklahoma,2001,221,3467100,6.3742E-05
609,Oklahoma,2002,200,3489080,5.73217E-05
610,Oklahoma,2003,322,3504892,9.18716E-05
611,Oklahoma,2004,427,3525233,0.000121127
612,Oklahoma,2005,400,3548597,0.000112721
613,Oklahoma,2006,478,3594090,0.000132996
614,Oklahoma,2007,596,3634349,0.000163991
615,Oklahoma,2008,522,3668976,0.000142274
616,Oklahoma,2009,724,3717572,0.000194751
617,Oklahoma,2010,662,3751351,0.00017647
618,Oklahoma,2011,643,3786626,0.000169808
619,Oklahoma,2012,707,3817679,0.000185191
620,Oklahoma,2013,730,3853405,0.000189443
621,Oklahoma,2014,721,3879610,0.000185843
622,Oklahoma,2015,677,3911338,0.000173087
623,Texas,1999,849,20558220,4.12973E-05
624,Texas,2000,815,20851820,3.90853E-05
625,Texas,2001,1090,21319622,5.11266E-05
626,Texas,2002,1257,21690325,5.79521E-05
627,Texas,2003,1411,22030931,6.40463E-05
