County,County Code,Year,Race,Race Code,Deaths,Population,Crude Rate,Age Adjusted Rate
"Columbiana County, OH",39029,2006,White,2106-3,1149,106186,1082.1,875.4
"Columbiana County, OH",39029,2007,Black or African American,2054-5,20,2899,689.9,1615.4
"Columbiana County, OH",39029,2007,White,2106-3,1123,105612,1063.3,844.1
"Columbiana County, OH",39029,2008,Black or African American,2054-5,22,2945,747,1417.6
"Columbiana County, OH",39029,2008,White,2106-3,1254,104887,1195.6,931
"Columbiana County, OH",39029,2009,Black or African American,2054-5,10,2947,339.3 (Unreliable),566.7 (Unreliable)
"Columbiana County, OH",39029,2009,White,2106-3,1116,104338,1069.6,814.2
"Columbiana County, OH",39029,2010,Black or African American,2054-5,16,2945,543.3 (Unreliable),1012.9 (Unreliable)
"Columbiana County, OH",39029,2010,White,2106-3,1119,104222,1073.7,815.6
"Coshocton County, OH",39031,2000,White,2106-3,365,35949,1015.3,915.4
"Coshocton County, OH",39031,2001,White,2106-3,348,36236,960.4,860.6
"Coshocton County, OH",39031,2002,Black or African American,2054-5,11,513,2144.2 (Unreliable),1892.5 (Unreliable)
"Coshocton County, OH",39031,2002,White,2106-3,410,36426,1125.6,1002.7
"Coshocton County, OH",39031,2003,White,2106-3,387,36547,1058.9,933
"Coshocton County, OH",39031,2004,White,2106-3,380,36648,1036.9,908.6
"Coshocton County, OH",39031,2005,White,2106-3,386,36649,1053.2,914.3
"Coshocton County, OH",39031,2006,White,2106-3,352,36604,961.6,831.1
"Coshocton County, OH",39031,2007,White,2106-3,371,36429,1018.4,839.9
"Coshocton County, OH",39031,2008,White,2106-3,386,36181,1066.9,880.5
"Coshocton County, OH",39031,2009,White,2106-3,353,36117,977.4,795.5
"Coshocton County, OH",39031,2010,White,2106-3,357,36127,988.2,804.9
"Crawford County, OH",39033,2000,White,2106-3,505,46360,1089.3,937.1
"Crawford County, OH",39033,2001,White,2106-3,499,45874,1087.8,925.2
"Crawford County, OH",39033,2002,White,2106-3,497,45612,1089.6,912.1
"Crawford County, OH",39033,2003,White,2106-3,520,45251,1149.1,941.7
"Crawford County, OH",39033,2004,White,2106-3,465,45082,1031.5,832.7
"Crawford County, OH",39033,2005,White,2106-3,523,44820,1166.9,934.9
"Crawford County, OH",39033,2006,White,2106-3,474,44179,1072.9,833.6
"Crawford County, OH",39033,2007,White,2106-3,512,43884,1166.7,892.4
"Crawford County, OH",39033,2008,White,2106-3,479,43532,1100.3,838.4
"Crawford County, OH",39033,2009,White,2106-3,451,43152,1045.1,779.9
"Crawford County, OH",39033,2010,White,2106-3,486,43007,1130,820.4
"Cuyahoga County, OH",39035,2000,Black or African American,2054-5,3815,392954,970.9,1160.9
"Cuyahoga County, OH",39035,2000,White,2106-3,11422,969424,1178.2,856.6
"Cuyahoga County, OH",39035,2001,Black or African American,2054-5,3671,394394,930.8,1103.3
"Cuyahoga County, OH",39035,2001,White,2106-3,11617,955383,1216,876
"Cuyahoga County, OH",39035,2002,Black or African American,2054-5,3736,395274,945.2,1103.7
"Cuyahoga County, OH",39035,2002,White,2106-3,11414,942244,1211.4,860.9
"Cuyahoga County, OH",39035,2003,Black or African American,2054-5,3683,396054,929.9,1076.4
"Cuyahoga County, OH",39035,2003,White,2106-3,10971,928740,1181.3,822.6
"Cuyahoga County, OH",39035,2004,Black or African American,2054-5,3948,396341,996.1,1136.9
"Cuyahoga County, OH",39035,2004,White,2106-3,10705,914098,1171.1,816.7
"Cuyahoga County, OH",39035,2005,Black or African American,2054-5,3833,396007,967.9,1090.2
"Cuyahoga County, OH",39035,2005,White,2106-3,10746,897315,1197.6,823.4
"Cuyahoga County, OH",39035,2006,Black or African American,2054-5,3856,394648,977.1,1083.8
"Cuyahoga County, OH",39035,2006,White,2106-3,10123,879920,1150.4,779.4
"Cuyahoga County, OH",39035,2007,Black or African American,2054-5,3681,394143,933.9,1015.1
"Cuyahoga County, OH",39035,2007,White,2106-3,10027,867992,1155.2,774.1
"Cuyahoga County, OH",39035,2008,Black or African American,2054-5,3808,394014,966.5,1033.4
"Cuyahoga County, OH",39035,2008,White,2106-3,10130,857270,1181.7,784.4
"Cuyahoga County, OH",39035,2009,Black or African American,2054-5,3562,394163,903.7,948.1
"Cuyahoga County, OH",39035,2009,White,2106-3,9556,850269,1123.9,745.7
"Cuyahoga County, OH",39035,2010,Black or African American,2054-5,3583,394894,907.3,937.5
"Cuyahoga County, OH",39035,2010,White,2106-3,9689,844059,1147.9,746.1
"Darke County, OH",39037,2000,White,2106-3,525,52746,995.3,819.5
"Darke County, OH",39037,2001,White,2106-3,561,52505,1068.5,866.3
"Darke County, OH",39037,2002,White,2106-3,557,52413,1062.7,854.1
"Darke County, OH",39037,2003,White,2106-3,604,52570,1148.9,912.7
"Darke County, OH",39037,2004,White,2106-3,566,52584,1076.4,844.7
"Darke County, OH",39037,2005,White,2106-3,517,52544,983.9,766.1
"Darke County, OH",39037,2006,White,2106-3,535,52362,1021.7,774.5
"Darke County, OH",39037,2007,White,2106-3,558,52324,1066.4,809.4
"Darke County, OH",39037,2008,White,2106-3,565,52236,1081.6,810.2
"Darke County, OH",39037,2009,White,2106-3,563,52129,1080,802.6
"Darke County, OH",39037,2010,White,2106-3,500,52272,956.5,699.3
"Defiance County, OH",39039,2000,White,2106-3,314,38391,817.9,789.8
"Defiance County, OH",39039,2001,White,2106-3,345,38351,899.6,856.7
"Defiance County, OH",39039,2002,White,2106-3,351,38181,919.3,857.9
"Defiance County, OH",39039,2003,White,2106-3,314,38067,824.9,746.7
"Defiance County, OH",39039,2004,White,2106-3,343,37974,903.2,796.2
"Defiance County, OH",39039,2005,White,2106-3,355,37916,936.3,812.4
"Defiance County, OH",39039,2006,White,2106-3,357,37947,940.8,822.5
"Defiance County, OH",39039,2007,White,2106-3,331,37897,873.4,755.8
"Defiance County, OH",39039,2008,White,2106-3,367,38005,965.7,816.8
"Defiance County, OH",39039,2009,White,2106-3,377,37782,997.8,831.4
"Defiance County, OH",39039,2010,White,2106-3,345,37775,913.3,741.8
"Delaware County, OH",39041,2000,Black or African American,2054-5,15,3105,483.1 (Unreliable),1292.3 (Unreliable)
"Delaware County, OH",39041,2000,White,2106-3,616,104782,587.9,872.5
"Delaware County, OH",39041,2001,Black or African American,2054-5,12,3712,323.3 (Unreliable),662.7 (Unreliable)
"Delaware County, OH",39041,2001,White,2106-3,670,112087,597.7,891.5
"Delaware County, OH",39041,2002,Black or African American,2054-5,15,4226,354.9 (Unreliable),577.1 (Unreliable)
"Delaware County, OH",39041,2002,White,2106-3,612,118356,517.1,730.1
"Delaware County, OH",39041,2003,Black or African American,2054-5,21,4615,455,1031
"Delaware County, OH",39041,2003,White,2106-3,720,124884,576.5,820.9
